SA2_5DIG16,shortest_time_sec,shortest_time_min
11368,103.1608093806883,2.0
11369,255.82045435493336,5.0
11370,300.5723275924715,6.0
11371,273.33797398064416,5.0
11372,509.4644414775256,9.0
11373,403.8892933049946,7.0
11374,194.78764194501062,4.0
11375,440.2051731369716,8.0
11376,211.32740424567504,4.0
11377,327.4910382600413,6.0
11378,77.63011569372075,2.0
11379,143.58788296472653,3.0
11380,243.5693496227093,5.0
11381,242.6790299143158,5.0
11382,211.30096099491234,4.0
11383,265.9557417810111,5.0
11384,321.7317581177987,6.0
11385,223.71926213804807,4.0
11386,147.516796875,3.0
11387,172.96438539476202,3.0
11388,223.63306809139482,4.0
11389,306.0297779369628,6.0
11390,129.31376971479938,3.0
11391,149.18087804878047,3.0
11392,200.86596356663472,4.0
11393,166.3209390272283,3.0
11394,164.4186892480172,3.0
11395,165.16417477892546,3.0
11396,290.5122892607917,5.0
11398,152.46972163040064,3.0
11399,244.5957189479747,5.0
11400,209.34317188842002,4.0
11401,124.40468600878029,3.0
11402,222.8907944365865,4.0
11403,394.0936367121187,7.0
11404,923.3284921448088,16.0
11406,264.02700737788786,5.0
11407,470.1121411146557,8.0
11408,362.2812127494169,7.0
11409,321.93153671831936,6.0
11410,384.6767799431985,7.0
11411,237.91694493414914,4.0
11412,217.24426385697473,4.0
11413,165.8377736938829,3.0
11414,101.33433538171954,2.0
11415,268.01019605087487,5.0
11416,159.62687859656964,3.0
11417,168.44874531835208,3.0
11418,489.3316463836944,9.0
11419,464.23049762924086,8.0
11420,859.2204071740183,15.0
11421,506.8400930665426,9.0
11422,536.6572111735236,9.0
11423,278.09041566614223,5.0
11424,223.69849845534878,4.0
11425,342.4673303046499,6.0
11426,126.91499459329569,3.0
11427,343.2435495200188,6.0
11428,285.9773832742905,5.0
11429,199.08952077285488,4.0
11430,357.5860946745562,6.0
11431,349.7963600451467,6.0
11432,765.6073646606211,13.0
11433,302.12655707339667,6.0
11434,561.8249560716152,10.0
11435,491.5963884514436,9.0
11436,325.1675502983577,6.0
11437,201.9317522260086,4.0
11438,551.9978520988623,10.0
11439,,
11440,841.932226346945,15.0
11441,387.9890643911886,7.0
11442,886.0824928841497,15.0
11443,571.7480161127894,10.0
11444,333.92293033277474,6.0
11445,1834.9748433147631,31.0
11446,1142.8234553775742,20.0
11447,1648.7951703191995,28.0
11448,1313.5230092437912,22.0
11449,1015.6391991380858,17.0
11450,805.9677662831206,14.0
11451,2484.2,42.0
11452,269.77782486944676,5.0
11453,983.1515461169362,17.0
11454,393.82165843298395,7.0
11455,481.71447303720703,9.0
11456,,
11457,330.0369889308337,6.0
11458,514.5147535449022,9.0
11459,559.848918387414,10.0
11460,601.8099472245782,11.0
11461,339.1177021867407,6.0
11462,346.69866203656426,6.0
11463,875.8222594843849,15.0
11464,225.20196624981165,4.0
11465,1833.9361062969383,31.0
11466,535.3423972800925,9.0
11467,414.99896752270797,7.0
11468,827.3238495995655,14.0
11469,551.6587505813052,10.0
11470,664.0725319512932,12.0
11473,502.866512,9.0
11475,437.5,8.0
11476,390.7386983674811,7.0
11477,324.1029873039582,6.0
11478,313.67498308525035,6.0
11479,359.83685124864274,6.0
11480,153.29371893357433,3.0
11481,259.7847150880899,5.0
11482,379.0807633877706,7.0
11483,310.434181331293,6.0
11484,346.5754276601914,6.0
11485,219.2150351123596,4.0
11486,400.25,7.0
11487,469.88461538461536,8.0
11489,358.1990591942381,6.0
11490,526.6697135582432,9.0
11491,206.7633842226695,4.0
11492,247.23088527057536,5.0
11493,306.251779051779,6.0
11494,449.73310798295984,8.0
11495,198.22221689236557,4.0
11496,269.68400564449416,5.0
11497,170.93331201790494,3.0
11498,249.28673956675203,5.0
11499,165.94641129812342,3.0
11500,238.9525554839304,4.0
11501,199.1521393196395,4.0
11503,276.4669409086205,5.0
11504,413.7263075947177,7.0
11505,1146.3295686274507,20.0
11506,879.6155176273083,15.0
11509,481.90752016003,9.0
11510,259.04184886435996,5.0
11511,336.7272205144798,6.0
11512,351.08485976957985,6.0
11513,328.55079631584,6.0
11514,395.14559532355656,7.0
11515,200.18929602990312,4.0
11516,275.31131591349424,5.0
11517,210.44334335538184,4.0
11518,800.2326797385621,14.0
11519,218.09242205702878,4.0
11520,338.49988010698144,6.0
11521,249.04999999999998,5.0
11522,424.707364192808,8.0
11523,234.06592083533113,4.0
11524,458.2436406687929,8.0
11529,331.3859304258123,6.0
11530,123.60783258266507,3.0
11531,286.0310440251572,5.0
11533,951.9719249692497,16.0
11534,799.8070718765075,14.0
11535,814.9974451173354,14.0
11536,560.3313278008299,10.0
11537,1558.8625,26.0
11538,376.54056255690256,7.0
11539,267.2971414855547,5.0
11540,1621.265720161354,28.0
11541,279.16742830854156,5.0
11542,1827.2487598990515,31.0
11543,284.31950528700906,5.0
11544,1102.6191364750748,19.0
11545,275.1182745892741,5.0
11546,148.7917264711913,3.0
11547,356.63616381304956,6.0
11548,137.1408915283343,3.0
11549,126.41745689655174,3.0
11550,541.4454296277409,10.0
11551,1021.0325330871037,18.0
11552,357.9593324334274,6.0
11553,138.73172595520418,3.0
11554,390.8092239072257,7.0
11555,282.50046284608266,5.0
11556,187.17815742584634,4.0
11557,318.53751192520514,6.0
11558,439.0124412894961,8.0
11559,318.0476532587653,6.0
11560,225.77702044790652,4.0
11561,259.6695479630434,5.0
11562,450.2221518987341,8.0
11563,612.6826977555023,11.0
11564,266.92470643494596,5.0
11565,173.5695025926637,3.0
11566,319.35336872192727,6.0
11567,280.47132284054715,5.0
11568,286.382971227246,5.0
11569,162.92214205452717,3.0
11570,110.03308913308913,2.0
11571,347.88972273567464,6.0
11572,220.34310506860473,4.0
11573,290.3528047780771,5.0
11574,347.9704922836492,6.0
11575,179.58040321612864,3.0
11576,345.3208862545865,6.0
11577,97.99318701804931,2.0
11578,180.9799475016406,4.0
11579,153.39473849044785,3.0
11580,472.35748580278783,8.0
11581,540.765128875607,10.0
11582,121.8609795823396,3.0
11583,210.83732276530165,4.0
11584,201.93478773584906,4.0
11585,261.9520417321068,5.0
11586,267.85137178331837,5.0
11587,359.1091607565012,6.0
11588,303.1182398256945,6.0
11589,105.12964904430098,2.0
11590,136.00127772420444,3.0
11591,219.03473466828927,4.0
11592,1149.1534482758623,20.0
11593,612.4259280411194,11.0
