SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11343,Double Bay - Darling Point,1.5591,10046.0,0.03910763432329837,6443.5
11564,Kensington (NSW),2.6423,11975.0,0.04661695411322894,4532.0
11565,Kingsford,2.0141,13775.0,0.053624095441313455,6839.3
11566,Maroubra - North,1.8112,9837.0,0.03829402735798189,5431.2
11567,Maroubra - South,2.065,11124.0,0.04330413340756232,5386.9
11568,Maroubra - West,2.0464,9911.0,0.03858209872369203,4843.1
11569,Randwick - North,1.9356,16293.0,0.06342630758804502,8417.5
11570,Randwick - South,3.3725,12837.0,0.049972596238122745,3806.4
11348,Coogee - Clovelly,2.7034,19720.0,0.07676712610545927,7294.5
11350,Malabar - La Perouse,8.4115,10685.0,0.04159516949476837,1270.3
11350,Matraville - Chifley,3.4138,13469.0,0.05243288141553909,3945.5
11348,South Coogee,1.1322,5640.0,0.02195570949466482,4981.5
11354,Bass Hill - Georges Hall,8.9161,23966.0,0.09329619392715197,2687.9
11355,Chullora,4.0501,1480.0,0.005761427314202826,365.4
11356,Condell Park,10.0036,12795.0,0.04980909627380078,1279.0
11358,Padstow,6.5091,17214.0,0.06701162823424826,2644.6
11360,Revesby,5.0925,17710.0,0.0689424849557649,3477.7
11361,Yagoona - Birrong,5.5597,22580.0,0.08790069510452689,4061.4
11571,Bankstown - North,2.7405,17050.0,0.06637319980213391,6221.5
11572,Bankstown - South,4.4232,18500.0,0.07201784142753533,4182.5
11357,Greenacre - North,4.0802,14698.0,0.05721720180010346,3602.3
11357,Greenacre - South,2.9017,13444.0,0.052335560008204586,4633.1
11359,Panania (North) - Milperra,7.5649,11369.0,0.04425788319944048,1502.9
11359,Panania (South) - Picnic Point,6.8259,16012.0,0.06233241496960516,2345.8
11362,Belmore - Belfield,4.5136,20405.0,0.07943373266642476,4520.8
11366,Punchbowl,5.2458,21689.0,0.08443216014712505,4134.5
11367,Roselands,3.6461,14585.0,0.05677730903895149,4000.2
11573,Lakemba,2.1866,17228.0,0.0670661282223556,7878.9
11574,Wiley Park,1.3933,10207.0,0.03973438418653259,7325.8
11363,Campsie - North,1.5672,11930.0,0.04644177558002683,7612.3
11363,Campsie - South,1.12,9107.0,0.03545224226381428,8131.3
11363,Canterbury - South,2.0906,12268.0,0.047757561007189364,5868.2
11364,Earlwood,5.5897,17988.0,0.07002469900532461,3218.1
11364,Kingsgrove - North,2.6119,6266.0,0.02439263753432088,2399.0
11370,Narwee - Beverly Hills,3.3909,13817.0,0.05378759540563543,4074.7
11371,Oatley - Hurstville Grove,4.3549,12585.0,0.048991596452190915,2889.8
11372,Peakhurst - Lugarno,7.4721,20261.0,0.07887316136017801,2711.6
11373,Riverwood,2.7319,11638.0,0.04530506154235978,4260.0
11374,South Hurstville - Blakehurst,6.2406,25399.0,0.09887465699556593,4070.0
11368,Hurstville - Central,1.2264,12143.0,0.04727095397051683,9901.3
11368,Hurstville - North,2.4137,12123.0,0.04719309684464922,5022.6
11369,Mortdale - Oatley,4.4442,14715.0,0.05728338035709093,3311.1
11369,Penshurst,1.6722,9556.0,0.03720013473954203,5714.6
11377,Kingsgrove (South) - Bardwell Park,3.7871,12991.0,0.05057209610730331,3430.3
11378,Kogarah,2.2197,13117.0,0.051062596000269224,5909.4
11379,Kogarah Bay - Carlton - Allawah,3.5033,16237.0,0.06320830763561573,4634.8
11380,Monterey - Brighton-le-Sands - Kyeemagh,3.3799,13909.0,0.054145738184626424,4115.2
