SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
119021363,11363,4.8,32017,0.13,6670.208333333334
119021364,11364,8.2,25014,0.1,3050.4878048780492
119021366,11366,5.2,21693,0.09,4171.7307692307695
119021367,11367,3.6,14208,0.06,3946.6666666666665
119021573,11573,2.2,18056,0.07,8207.272727272726
119021574,11574,1.4,10847,0.04,7747.857142857143
119031368,11368,3.6,24845,0.1,6901.388888888889
119031369,11369,6.1,24794,0.1,4064.5901639344265
119031370,11370,3.4,14337,0.06,4216.764705882353
119031371,11371,4.4,13214,0.05,3003.181818181818
119031372,11372,7.4,18571,0.08,2509.5945945945946
119031373,11373,2.8,11724,0.05,4187.142857142858
119031374,11374,6.2,25248,0.1,4072.258064516129
119041375,11375,5.0,22911,0.09,4582.2
119041376,11376,5.3,27881,0.12,5260.566037735849
119041377,11377,3.8,13299,0.05,3499.7368421052633
119041378,11378,2.2,11901,0.05,5409.545454545454
119041379,11379,3.5,16741,0.07,4783.142857142857
119041380,11380,3.4,14728,0.06,4331.764705882353
119041381,11381,3.6,21180,0.09,5883.333333333333
119041382,11382,4.6,16852,0.07,3663.4782608695655
120011383,11383,6.3,22706,0.09,3604.126984126984
120011384,11384,5.1,26116,0.11,5120.78431372549
120011385,11385,3.7,19276,0.08,5209.729729729729
120011386,11386,4.6,21497,0.09,4673.260869565218
120021387,11387,2.6,16650,0.07,6403.846153846153
120021388,11388,4.5,27957,0.12,6212.666666666667
120021389,11389,3.6,14933,0.06,4148.055555555556
120031390,11390,3.7,25655,0.11,6933.783783783783
120031391,11391,4.5,25879,0.11,5750.888888888889
120031392,11392,3.0,10982,0.05,3660.6666666666665
120031393,11393,4.0,17862,0.07,4465.5
120031394,11394,2.7,17636,0.07,6531.851851851851
120031395,11395,3.5,14129,0.06,4036.8571428571427
120031396,11396,3.8,17086,0.07,4496.315789473684
120031575,11575,6.5,26212,0.11,4032.6153846153848
120031576,11576,2.5,3692,0.02,1476.8
121011398,11398,5.1,29996,0.12,5881.568627450981
121011399,11399,5.5,22065,0.09,4011.818181818182
121011400,11400,9.1,27960,0.12,3072.5274725274726
121011401,11401,2.8,11065,0.05,3951.7857142857147
121011402,11402,10.8,26738,0.11,2475.7407407407404
121021403,11403,34.7,18895,0.08,544.5244956772334
121021404,11404,81.8,12045,0.05,147.24938875305625
121021406,11406,10.0,19141,0.08,1914.1
121021577,11577,2.6,12312,0.05,4735.384615384615
121021578,11578,6.3,11084,0.05,1759.3650793650795
