SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11143,248.9893589869441,753;681;292;433;991,248.9893589869441;665.1886767448709;1093.5886767448708;1153.7313880435847;1188.688676744871
11144,428.3737025525101,392;990;992;991;292,430.92438541960996;452.4600640482245;456.1600640482245;459.99818687011395;580.4671658660639
11145,397.83125606050817,113;392;990;992;991,398.1991337513737;535.8009115004203;545.7009115004203;549.4009115004202;558.6009115004202
11146,219.05446220999195,992;990;292;991;392,271.04267210703614;274.16477202637947;274.90401859847225;287.617915263083;347.4853726811216
11147,1070.9003188339789,193;113;466;441;553,1075.2693691641996;1323.6445570485082;1352.8151104531998;1836.8104190389433;1859.8104190389433
11148,232.40250044177415,466;193;113;392;990,346.99088178123344;373.57376745007946;454.9739088178123;1041.1739088178124;1051.0739088178123
11150,246.58024547934136,113;466;392;990;992,246.9324628750379;497.71593595312663;734.1707243155874;744.0707243155875;747.7707243155875
11151,1402.8149989422466,112;322;255;388;142,2175.3823989845573;3346.6636344404483;3579.946773852337;4016.3793526549607;4081.579352654961
11152,297.8569192060386,299;502;988;112;322,297.8569192060386;2405.513069611406;3157.7130696114064;3673.8130696114067;4442.113069611406
11153,1729.860186854614,299;112;502;988;322,1885.0848385510574;2399.3660711358793;3091.2757416816917;3843.4757416816915;4869.115358138011
11154,435.9459162218987,299;502;988;112;322,435.9459162218987;1902.198220928352;2654.3982209283517;3170.498220928352;3938.798220928352
11155,482.93626381075035,430;337;683;489;204,482.93626381075035;2455.339747847895;2791.181481732529;2900.917942113469;2975.3294380803904
11156,1890.4084380211227,430;337;489;683;204,2042.1049360755974;3175.358610339077;3520.423590883824;3750.24560311284;3895.438510283491
11157,510.87378214509715,489;65;190;337;189,510.87378214509715;2718.231131089274;2782.931131089274;2950.657934350826;3034.231131089274
11158,971.7206112505536,489;65;190;189;49,971.7206112505536;2038.2037944780748;2102.903794478075;2354.203794478075;2648.4037944780744
11159,1449.9627831293933,489;65;190;189;49,1451.2199036709192;3097.4180031241867;3164.917716740432;3416.217716740432;3710.417716740432
